score,label,timestamp
31.844945907592773,"a street with a sign that says,'breaking into the streets in ukraine '",176.0
31.408241271972656,a building in ukraine with the words breaking news on it,251.0
29.956787109375,the scene of the explosion in ukraine,263.5
29.218067169189453,a street with a sign that reads'breaking'and a photo of a bus on the,173.5
29.173599243164062,a building that has been destroyed in ukraine,252.5
28.6203556060791,a building that is being destroyed in ukraine,368.5
28.437685012817383,a building that has been destroyed in ukraine,373.0
27.80341148376465,a man in a suit and tie on the news,240.5
27.6777286529541,a building that has been destroyed in ukraine,376.5
27.436914443969727,the scene of the explosion in ukraine,204.0
27.321969985961914,the scene at the scene of the explosion in kiev,207.5
27.3056640625,a man on the street in kiev,242.0
27.25775718688965,the scene of the explosion in kiev,211.5
26.966955184936523,a building that has been destroyed in ukraine,366.5
26.875926971435547,a man in a suit and tie on the news,71.0
26.80868148803711,a building that has been destroyed in ukraine,193.0
26.731258392333984,the building that was destroyed in ukraine,364.5
26.61540985107422,a man in a suit and tie on the news,391.0
26.445772171020508,a building that has been destroyed in ukraine,194.5
26.387746810913086,a man in a suit and tie talking to a reporter,236.0
26.36859893798828,a man in a suit and tie on the news,314.0
26.332246780395508,a building that is being demolished in ukraine,372.5
26.246471405029297,a building that has been destroyed in ukraine,205.0
26.14492416381836,a man in a suit and tie on the news,60.0
26.095666885375977,"an explosion in the city of kiev, ukraine",188.0
26.00766372680664,"a street with a sign that says,'breaking into the city '",174.5
25.941316604614258,a man in a suit and tie talking to a reporter,72.0
25.68609046936035,a man walking down the street in kiev,241.0
25.65361213684082,the scene of the explosion in kiev,224.0
25.64957618713379,"the scene in kiev, ukraine",265.0
25.591018676757812,a building that has been destroyed,382.0
25.3487606048584,a man in a suit and tie standing in front of a building,388.0
25.342544555664062,a man standing in front of a building,40.0
25.176902770996094,a building that has been destroyed in ukraine,260.0
25.14219093322754,a building that is being demolished in ukraine,363.0
25.14094352722168,"the scene in kiev, ukraine",262.5
25.13542938232422,"the scene in kiev, ukraine",206.0
24.9311466217041,a building that has been destroyed,253.0
24.900768280029297,a man holding a gun in the street,182.5
24.878480911254883,"the scene in kiev, ukraine",359.5
24.843782424926758,a building that has been damaged,256.5
24.806745529174805,a man standing in front of a building,271.5
24.806617736816406,a man walking down the street in kiev,214.0
24.805734634399414,"a building in the city of kiev, ukraine",372.0
24.766511917114258,a man walking down the street in kiev,195.0
24.74778938293457,"the scene in kiev, ukraine",197.0
24.679931640625,the scene on the corner of a street,176.5
24.670082092285156,a man pointing at the camera on a street,358.5
24.66195297241211,a man standing in front of a building,38.0
24.627578735351562,"the scene on the street in berlin, germany",82.5
24.622966766357422,a man in the middle of a city,276.0
24.605966567993164,a man with a beard and glasses on the street,242.5
24.59119415283203,"a building in the city of kiev, ukraine",380.5
24.57319450378418,a building that has been destroyed,375.0
24.560483932495117,a man in a suit and tie on a tv screen,1.5
24.496692657470703,a building that is being demolished in ukraine,203.0
24.447343826293945,a building that is being demolished in ukraine,260.5
24.396039962768555,a man standing in front of a building,29.0
24.283964157104492,a man with a beard and glasses on the street,338.0
24.227725982666016,a building that has been destroyed by fire,259.0
24.168750762939453,a car in the middle of a street,86.5
24.142824172973633,a man in a suit and tie on a tv screen,72.5
24.114320755004883,a man in a suit on the street,245.5
24.079710006713867,the scene at the scene where a man was killed by a bus,84.0
24.05600929260254,the scene on the street in front of a building,82.0
24.05289077758789,a street with cars and a bus,172.0
24.052509307861328,a bus on the street in front of a building,168.5
23.972274780273438,"the scene in kiev, ukraine",212.0
23.9515380859375,a man with a beard and glasses on the street,330.0
23.913082122802734,a man talking on the phone,141.5
23.870655059814453,a man with a beard and glasses on the street,334.0
23.827394485473633,a man standing in front of a building,181.0
