score,label,timestamp
37.004722595214844,a man putting bottles of wine on the ground,160.5
35.79300308227539,a man putting bottles of wine on the street,160.0
34.809356689453125,the ukraine flag on a tablet,365.5
34.74101638793945,a man selling alcohol bottles on the street,158.0
34.61620330810547,a woman sitting at a desk in front of an european flag,13.5
33.87842559814453,a man placing wine bottles on the ground,161.0
33.7298469543457,the nato flag and the nato flag,283.0
33.61577606201172,a man selling bottles of wine on the street,159.5
33.55695343017578,a bear standing on top of a pile of bottles,155.5
33.23274612426758,a military vehicle that is on fire,134.5
32.920352935791016,a blue and white background with a world map in the background,318.0
32.80671691894531,a woman wearing a face mask in an office,566.5
32.59129333496094,a woman wearing a face mask in the european parliament,370.5
32.58195114135742,a large plume of black smoke rising from a lake,64.5
32.43075180053711,a woman walking through an office,565.0
32.39494323730469,a tv screen showing a video of a meeting,357.0
32.222251892089844,two women on a news set,596.5
32.10989761352539,a man in a red jacket holding a microphone,211.5
31.968643188476562,a woman in front of a european flag,14.0
31.94483184814453,two women on a news set,593.5
31.867345809936523,a large plume of smoke billowing out of a building,60.0
31.790103912353516,a woman in a purple dress walking through an airport,567.0
31.551586151123047,a man in a yellow jacket holding a sign,683.5
31.531553268432617,a protest with a sign reading'put in go home ',681.0
31.360822677612305,the european union with the eu flag,320.0
31.3569393157959,a woman standing in front of a european flag,14.5
31.00830841064453,a woman wearing a face mask and holding a flag,686.0
30.962600708007812,a large plume of black smoke rising from a building,57.5
30.899600982666016,a man wearing a face mask in the stands next to a man in a suit and tie,583.5
30.842235565185547,a military truck driving down the street,269.0
30.839046478271484,a television screen showing a video of a meeting,358.0
30.701345443725586,a woman standing at a podium in front of a european flag,316.5
30.612619400024414,the bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga bundesliga,836.5
30.59453582763672,a large crowd of people holding flags and flags,677.0
30.568458557128906,a man holding a sign with the words,683.0
30.52284049987793,the wreckage of a russian tank,176.0
30.313169479370117,a large plume of smoke coming from a chimney,54.5
30.086402893066406,a car driving down a street,142.0
30.016244888305664,a large plume of black smoke rising from a building,53.0
29.966238021850586,a woman sitting at a desk with a soccer ball in the background,751.0
29.958656311035156,a man standing next to a flag,443.0
29.93202781677246,a crowd of people holding flags,693.0
29.892333984375,a european flag with the words eu - sa,331.5
29.875503540039062,a weather map with a weather map in the background,884.0
29.731935501098633,a weather map showing the path of the storm,855.5
