score,label,timestamp
37.639739990234375,a woman walking down a hospital hallway wearing a face mask,599.5
36.940250396728516,tanks in a field with trees in the background,129.5
34.47012710571289,a nurse walking down a hospital hallway,600.0
33.653690338134766,the moscow river in the evening,233.0
33.386741638183594,a vaccine in a blue container,532.5
33.16383361816406,a man in safety gear working on a power line,901.0
33.07572937011719,a group of people wearing face masks,855.0
32.98273468017578,the departure board at the airport,908.0
32.8500862121582,the silhouette of a person with the words protebuster infoff,570.0
32.72638702392578,a street sign in a subway station,917.0
32.3839225769043,two men in safety vests standing on a power line,903.5
32.2806510925293,a woman in a wheelchair being assisted by a nurse,603.0
32.246803283691406,a woman in a wheelchair being helped by a nurse,602.5
32.20412826538086,a man cutting a fallen tree,888.0
32.16697692871094,two firefighters standing on the side of a road at night,896.0
32.09360122680664,a soldier looking through a binoculars,304.0
31.752914428710938,a building with a fence in front of it,313.0
31.73540496826172,a man's silhouette with the words protebuser in front of him,565.5
31.542234420776367,a glass filled with purple liquid,753.0
31.49388313293457,the weather map for the uk and ireland,982.0
31.415029525756836,a man cutting a tree in the woods,889.0
31.392797470092773,a fire burning in a building,944.0
31.135692596435547,two men working on a power line,902.0
31.079463958740234,the silhouette of a man with the words protebuster infoff,570.5
30.951934814453125,a futuristic room with a man sitting on the floor,5.5
30.93100929260254,a woman in a wheelchair in a hospital,602.0
30.8822021484375,putin and his wife on the tv screen,29.5
30.86837387084961,a courtroom with people in the courtroom,678.5
30.85274314880371,a fire burning in the roof of a building,942.5
30.77128791809082,the weather map for the uk,986.0
30.7503662109375,a person cutting a piece of wood,786.0
30.735885620117188,a woman and a man on a news set,351.0
30.73121452331543,putin and his wife on the tv screen,40.0
30.683942794799805,a group of people wearing face masks,247.5
30.64093017578125,putin and his wife on the tv screen,44.0
30.62123680114746,a man standing on top of a tank,134.0
30.61756706237793,smoke rising from the roof of a building,946.0
30.591838836669922,a car on fire in the middle of the city,956.5
30.547222137451172,a courtroom with people sitting in chairs,682.5
30.518817901611328,a fire in a building at night,945.0
30.4913387298584,a courtroom with people in it,679.0
30.481821060180664,an elderly's hands in bed,657.5
30.479955673217773,a military vehicle in the mud,127.0
30.460187911987305,a man sitting at a table in front of two flags,75.0
30.422943115234375,the weather map for the uk,991.5
30.388397216796875,a crowd of people waiting at a train station,911.5
30.386301040649414,a vial with a yellow cap,538.0
30.3350830078125,a man in a suit and tie talking to a woman wearing a face mask,282.0
30.230348587036133,a row of test tubes in a laboratory,575.0
30.216079711914062,the storm system in the uk,983.5
30.106767654418945,a soldier looking through a binoculars lens,306.0
30.056896209716797,a soldier looking through a binoculars lens,303.0
29.990156173706055,a fire burning in a building,948.0
29.917247772216797,a man in a suit and tie walking into a courtroom,244.0
29.851320266723633,a weather map and a weather map,984.0
29.767335891723633,soldiers walking down a dirt road,132.0
29.707643508911133,a fire burning in the middle of a street,957.5
29.64042091369629,a fire burning in a building,969.0
29.635000228881836,a man's hands in bed,658.0
29.62727165222168,a man and woman on a tv screen,430.0
29.595701217651367,a fire burning through a window,961.5
29.571603775024414,a wreath hanging on a pole,796.0
29.556819915771484,the silhouette of a person with the words protebuster in front of it,569.5
29.54121971130371,an aerial view of the airport,118.0
29.483802795410156,a man in a suit talking to reporters,262.5
29.478710174560547,a person laying in a hospital bed,653.0
29.405967712402344,two men in suits and masks,280.0
29.315519332885742,a person in gloves and gloves putting something into a bowl,580.0
29.205801010131836,a fire truck on the side of the road,897.5
29.199987411499023,a woman wearing a face mask,248.0
29.193748474121094,two people standing at podiums in front of a screen,324.0
29.183223724365234,two metal knobs on a white surface,576.0
29.13501739501953,a fire burning in the middle of the city,959.5
29.120939254760742,a glass bottle with water in it,693.5
29.093944549560547,an aerial view of an airport,117.5
29.03588104248047,a person in gloves and gloves cleaning a sink,579.5
29.035856246948242,a building under construction in the city,850.5
29.020824432373047,a woman laying in a hospital bed,652.5
28.998197555541992,"the uk weather map, with a red triangle in the middle",989.5
28.990806579589844,a man wearing glasses and a suit,704.0
28.984806060791016,two soldiers walking through a field,299.5
28.951051712036133,a futuristic room with blue lights,4.0
